epoch,region,PSNR,SSIM,LPIPS,MAE,RMSE,pixels,images
6,shadow,23.3448274200925,0.6634990759690602,0.009636446889383175,8.746314046859741,8.991274708112082,1719543,750
6,non_shadow,29.998975014472506,0.9605058931509654,0.04356707216612995,2.4062762564818065,5.00924406560262,47432457,750
6,all,28.25001956429144,0.9487728918393453,0.07071294946099321,2.6452869057655333,5.417469031383383,49152000,750
9,shadow,24.412212231607555,0.7068740366895994,0.009254163138192478,7.000844790458679,7.664131302515666,1719543,750
9,non_shadow,31.281633420040613,0.9677539264361064,0.03689841279721198,2.057395302494367,4.624523584842682,47432457,750
9,all,29.226759152712166,0.9560887540976206,0.062080063990006845,2.2402255381941796,4.974168308031501,49152000,750
12,shadow,24.74040374542957,0.7201634596188863,0.00933767840960354,6.438288222789764,7.357329576174418,1719543,750
12,non_shadow,31.57683372918851,0.9686659100055695,0.03599543029663619,1.7871186059117317,4.576823744535446,47432457,750
12,all,29.411188299975713,0.9572939383983612,0.06035404696812232,1.959377078860998,4.913572097612891,49152000,750
